id,tokencount,department,messagecount,method,created_on,updated_on
7,201,ITM-KM83,1,Chat,2023-11-29 10:41:11.474003,2023-11-29 10:41:11.474012
8,135,ITM-KM83,1,Chat,2023-11-29 10:47:27.192996,2023-11-29 10:47:27.193003
9,80,ITM-KM-IL,1,Chat,2023-11-29 11:04:46.062646,2023-11-29 11:04:46.062654
10,169,ITM-KM83,2,Chat,2023-11-29 11:05:18.582812,2023-11-29 11:05:18.582818
11,275,ITM-KM83,3,Chat,2023-11-29 11:05:34.469624,2023-11-29 11:05:34.469633
12,322,ITM-KM-IL,2,Chat,2023-11-29 11:05:54.322864,2023-11-29 11:05:54.322871
13,922,ITM-KM-IL,1,Brainstorm,2023-11-29 11:07:58.557674,2023-11-29 11:07:58.557678
14,172,ITM-KM-IL,1,Chat,2023-11-29 11:09:28.425263,2023-11-29 11:09:28.425270
15,3836,ITM-KM83,1,Sum,2023-11-29 11:13:35.333726,2023-11-29 11:13:35.333738
16,415,ITM-KM-IL,1,Chat,2023-11-29 12:28:27.469515,2023-11-29 12:28:27.469525
17,193,ITM-KM-IL,1,Chat,2023-11-29 14:44:46.399024,2023-11-29 14:44:46.399034
18,302,ITM-KM-IL,2,Chat,2023-11-29 14:45:48.730465,2023-11-29 14:45:48.730473
19,447,ITM-KM-IL,3,Chat,2023-11-29 14:46:04.947533,2023-11-29 14:46:04.947540
20,5314,ITM-KM-IL,1,Chat,2023-11-29 14:55:21.794294,2023-11-29 14:55:21.794303
21,7582,ITM-KM-IL,2,Chat,2023-11-29 14:55:36.067608,2023-11-29 14:55:36.067615
22,3878,ITM-KM83,1,Sum,2023-11-29 15:09:21.670754,2023-11-29 15:09:21.670761
23,3951,ITM-KM83,1,Sum,2023-11-29 15:09:47.771684,2023-11-29 15:09:47.771689
24,4189,ITM-KM83,1,Sum,2023-11-29 15:13:42.012958,2023-11-29 15:13:42.012963
25,3949,ITM-KM83,1,Sum,2023-11-29 15:18:26.523927,2023-11-29 15:18:26.523932
26,199,ITM-KM-IL,1,Chat,2023-11-29 15:19:55.779936,2023-11-29 15:19:55.779942
27,868,ITM-KM,1,Chat,2023-11-29 15:44:59.773599,2023-11-29 15:44:59.773606
28,1375,ITM-KM,2,Chat,2023-11-29 15:45:42.001124,2023-11-29 15:45:42.001130
29,1425,ITM-KM,3,Chat,2023-11-29 15:57:05.127835,2023-11-29 15:57:05.127842
30,1461,ITM-KM,4,Chat,2023-11-29 15:57:32.484157,2023-11-29 15:57:32.484167
31,1494,ITM-KM,5,Chat,2023-11-29 15:57:33.615670,2023-11-29 15:57:33.615676
32,1532,ITM-KM,6,Chat,2023-11-29 15:57:42.925399,2023-11-29 15:57:42.925405
33,1582,ITM-KM,7,Chat,2023-11-29 15:57:48.909991,2023-11-29 15:57:48.909997
34,1637,ITM-KM,8,Chat,2023-11-29 15:58:02.553819,2023-11-29 15:58:02.553825
35,247,ITM-KM-IL,1,Chat,2023-11-29 15:59:10.515809,2023-11-29 15:59:10.515815
36,977,ITM-KM-IL,2,Chat,2023-11-29 16:00:07.242214,2023-11-29 16:00:07.242219
37,144,ITM-KM-IL,1,Chat,2023-11-29 16:10:06.947988,2023-11-29 16:10:06.947995
38,327,ITM-KM-IL,2,Chat,2023-11-29 16:10:24.378351,2023-11-29 16:10:24.378358
